4LPF1T64uLpwL6z4_ITJgQ,Havana Coffee Bar,,,
a1WWhLOWUC3wZLhkXdAIJQ,French Made,,,
axMME38mU9sHuZL8EfZn8w,Büro 53,,,
4cg0UV1tEznGsEGsutZZHg,Arvo Coffee,https://www.arvocoffee.com/classes,,
vecgLcPg4ba-DdP6C_p_RA,Dark Horse Espresso Bar,,,
CHicQ3i8iSGm08xBiOlrwQ,Mos Mos,,,
tf4FoM-A_I469qTUbLZs5Q,M Square Coffee Co,,msquarecoffeeco,
q0tMKr-hzS4UT0RArdZfzQ,Rooster Coffee House,https://www.roostercoffeehouse.com/giftcards,,
kyJaqGToSG0p9w5GmnLLCQ,Hailed Coffee,https://squareup.com/gift/3YM70S5WWE741/order,hailedcoffee,
aEnoF_79jQE83s-I756n8w,Thor Espresso Bar,,thorespressobar,
Xhf3nW6UahoVpRMkVUlnJA,Te Aro,,tearocoffee,
q3Gmd1TwkivU6H1p0OqxCQ,Balzac's Market Street,,balzacscoffee,https://shop.balzacs.com/collections/coffee
l1SGwoX-qkd17XUNkrvskQ,Goldstruck Coffee,,,http://www.goldstruck.ca/shop/
5Illcs9aBYZlaJp9BiGjng,Jimmy's Coffee,,jimmys_coffee,
bDM3LtDxvRds5m4HCTc9HQ,Cocoon Coffee,,cocooncoffeebar,
8bib49DjADw9GxQJNydafg,Aroma Espresso Bar,http://www.aroma.us/Aromacard,,
R7KTG4vKcSOHlYaaLxHGUg,Elchi Chai Shop,,,
mw69E3vLAbN-ra92f5Y8ZQ,Black Cat Espresso Bar,,blackcatespressobar,
kBt12nJhnruF9NQ36vRSZA,Marvel Coffee Company,,marvelcoffee,
tOl5TmyPIedIfjxN6jASTQ,The Good Neighbour,,thegoodneighbour,
AYFIMkpCeFxy3SsbAuOhww,ING Direct Café,,,
OURoudNtFXyd7RTtl5ASKg,Café Pamenar,,,
k0IDAMNDKKzvluoAb2Y4ig,Chaiwala,,,https://chaiwalachai.com/store/
Ykn6eHLY8vPHuUH7UQrvxw,La Barista Café,,,
eB67Ak5iop5pqzKhXRzECQ,Livelihood Cafe,,livelihoodcan,https://www.livelihoodcafe.com/shop
-WKQHbVgTNQVzCbVPDeMlg,Mon K Patisserie,,monkpatisserie,
uPJvuF2lE_1GWiuHvlRBEA,White Squirrel Coffee Shop,,whitesquirrelcoffeeshop,
pzIXxUDaYVUFwDq6dUf1bQ,The Coffee Bouquets,,thecoffeebouquets,
AoItX6upESFG_EowRa05eg,Ave Maria Latin Café,,,
79Ke-qt0ZcO_JMEtRbl3MA,Coffee Public,,,
3utUsvqVVbTuz8AdSxXOyQ,Slanted Door,,slanteddoor_art,
fe6YW5wLAeWQBATPf494DQ,Music Garden Cafe,,,
orFWQlzMbGzkP8GgnDaaYQ,The Black Canary Espresso Bar,,blackcanarycafe,
vf7-DE-Fgjy--zznJ0XzEA,Coppaccino Cafe,,,
l2J-R5MjzFTgj06dkSoyQg,Meow Cat Cafe,,,
qXFjkI_L3Ws3diveYocNFg,Coffee Lunar,,,
OBPiT9OyFDaTfaLRwfqlSg,Kitten and the Bear,https://www.kittenandthebear.com/products/gift-card,kittenandthebear,https://www.kittenandthebear.com/collections/sale
nrQi8Bh5GwuNDihbPJG5Sw,Scarlet Door,,,
TuJVTcMHZTf7tP6hBS3gRw,Louie Craft Coffee,,,
3KG13qMCNegGT9oIxWAAWw,Propeller Coffee,https://propellercoffee.com/products/gift-card?variant=31736923488308,,https://propellercoffee.com/collections/shop
0iTpgvz5XJzFAo253nIE0g,The Sidekick,,thesidekickcomics,
DfCuDI8b6rZ4nXl9Zg-eSw,de Mello Palheta,,demellopalheta,https://www.hellodemello.com/product-category/gift-sets/
X-UimDycyh6GjJZbLHPOlw,Milky’s,,milkyscoffee,
eXS5YBwzRnFUbGlTvlx1rA,The Mad Bean,,,
j29tuUdrfaxmGjwxHdHZPA,Tango Palace Coffee Company,,,
